"ANIMAL_TYPE","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","HOUSE_NUMBER","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBLEMCODE","REQUESTID","SRX","SRY","STATUS","STREET","WARD"
"","","2013-05-01 09:58:38.97","2013-05-01 09:58:38.97","2013-04-03 14:01:45.0","","18","Animal Bite","2013-04-10 00:00:00.0","Animal Bite","472519","","","CLOSED","","08"
"","","2013-05-16 11:45:49.603","2013-05-16 11:45:49.603","2013-04-08 11:07:06.0","","03","Animal Bite","2013-04-15 00:00:00.0","Animal Bite","473736","","","CLOSED","","01"
"","","2013-05-13 11:43:09.877","2013-05-13 11:43:09.877","2013-05-08 09:10:30.0","","76","Animal Bite","2013-05-15 00:00:00.0","Animal Bite","482721","","","CLOSED","","13"
"","2013-05-09 11:23:51.713","","","2013-05-09 10:53:21.963","","76","Animal Bite","2013-05-16 00:00:00.0","Animal Bite","483378","","","CANCEL","","13"
"","","2013-05-13 10:59:08.0","2013-05-13 10:59:08.563","2013-05-13 10:58:03.0","","02","Animal Bite","2013-05-20 00:00:00.0","Animal Bite","484394","","","CLOSED","","01"
"","","2013-06-07 16:09:44.0","2013-06-18 08:50:48.197","2013-06-07 10:22:13.13","","16","Animal Bite","2013-06-14 00:00:00.0","Animal Bite","493415","","","CLOSED","","03"
"","","2013-06-11 16:11:33.0","2013-07-10 14:39:49.12","2013-06-07 11:41:56.103","","83","Animal Bite","2013-06-14 00:00:00.0","Animal Bite","493469","","","CLOSED","","11"
"","","2013-06-07 16:12:05.0","2013-06-26 10:02:24.943","2013-06-07 12:24:48.0","","04","Animal Bite","2013-06-14 00:00:00.0","Animal Bite","493514","","","CLOSED","","01"
"Dog","","2013-05-07 11:42:40.103","2013-05-07 11:42:40.103","2013-04-23 15:49:02.053","","55","Animal Bite","2013-04-30 00:00:00.0","Animal Bite","478399","-10046684.58419040","4673635.72682970","CLOSED","MARCUS AVE & HAMMETT PL","12"
"","","2013-06-19 10:26:29.0","2013-06-26 10:09:34.147","2013-06-12 10:36:22.0","","06","Animal Bite","2013-06-19 00:00:00.0","Animal Bite","495168","","","CLOSED","","02"
"","","2013-06-12 10:38:53.0","2013-06-20 11:51:59.2","2013-06-12 15:42:36.0","","69","Animal Bite","2013-06-19 00:00:00.0","Animal Bite","495451","","","CLOSED","","12"
"Dog","","2013-06-20 10:41:59.0","2013-07-11 13:17:52.403","2013-06-12 18:13:43.0","","39","Animal Bite","2013-06-20 00:00:00.0","Animal Bite","495618","-10046512.61414960","4668877.86226430","CLOSED","S SARAH ST & GRATIOT ST","09"
"","","2013-06-17 11:13:13.0","2013-06-19 10:39:39.923","2013-06-14 15:32:40.9","","69","Animal Bite","2013-06-21 00:00:00.0","Animal Bite","496469","","","CLOSED","","12"
